,Gene name,Gene description,dN with Chimpanzee,dS with Chimpanzee,dN/dS with Chimpanzee,dN with Mouse,dS with Mouse,dN/dS with Mouse,present in DrugBank
4207,PCSK4,proprotein convertase subtilisin/kexin type 4 [Source:HGNC Symbol;Acc:HGNC:8746],0.0565,0.1923,0.2938,0.1086,1.2049,0.0901,False
4208,SGCZ,sarcoglycan zeta [Source:HGNC Symbol;Acc:HGNC:14075],0.0,0.0,,0.0213,0.3938,0.0541,False
4209,DGUOK,deoxyguanosine kinase [Source:HGNC Symbol;Acc:HGNC:2858],0.0039,0.013999999999999999,0.2786,0.1471,0.5638,0.2609,False
4210,PLA2G2C,phospholipase A2 group IIC [Source:HGNC Symbol;Acc:HGNC:9032],0.1081,0.1931,0.5598,0.2337,0.8634,0.2707,False
4211,PLAC1,placenta enriched 1 [Source:HGNC Symbol;Acc:HGNC:9044],0.0068,0.0055,1.2364,0.2974,0.9866,0.3014,False
4212,MFAP4,microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035],0.0,0.0,,0.0278,0.6524,0.0426,False
4213,MARCH11,membrane associated ring-CH-type finger 11 [Source:HGNC Symbol;Acc:HGNC:33609],0.0469,0.0644,0.7283,0.0993,0.4737,0.2096,False
4214,UBXN10,UBX domain protein 10 [Source:HGNC Symbol;Acc:HGNC:26354],0.0107,0.0115,0.9304,0.1761,1.0598,0.1662,False
4215,DOK3,docking protein 3 [Source:HGNC Symbol;Acc:HGNC:24583],0.0035,0.0119,0.2941,0.1385,0.7668,0.1806,False
4216,TSPYL5,TSPY like 5 [Source:HGNC Symbol;Acc:HGNC:29367],0.0561,0.0771,0.7276,0.1665,0.7458,0.2233,False
4217,PDE9A,phosphodiesterase 9A [Source:HGNC Symbol;Acc:HGNC:8795],0.0063,0.0376,0.1676,0.0343,0.8021,0.0428,False
4218,CNNM2,cyclin and CBS domain divalent metal cation transport mediator 2 [Source:HGNC Symbol;Acc:HGNC:103],0.0,0.0,,0.0096,0.45,0.0213,False
4219,AC012213.5,novel protein,0.0018,0.0085,0.2118,0.0573,0.3682,0.1556,False
4220,IDUA,iduronidase alpha-L- [Source:HGNC Symbol;Acc:HGNC:5391],0.0031,0.0159,0.195,0.1173,1.1054,0.1061,False
4221,SLC25A32,solute carrier family 25 member 32 [Source:HGNC Symbol;Acc:HGNC:29683],0.0061,0.0118,0.5169,0.0543,0.3284,0.1653,False
4222,SAR1B,secretion associated Ras related GTPase 1B [Source:HGNC Symbol;Acc:HGNC:10535],0.0022,0.0075,0.2933,0.0048,0.4573,0.0105,False
4223,ZNF622,zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958],0.0044,0.013999999999999999,0.3143,0.0971,0.5691,0.1706,False
4224,C18orf63,chromosome 18 open reading frame 63 [Source:HGNC Symbol;Acc:HGNC:40037],0.0088,0.0111,0.7928,0.2708,0.6071,0.4461,False
4225,ARHGAP20,Rho GTPase activating protein 20 [Source:HGNC Symbol;Acc:HGNC:18357],0.005,0.0101,0.495,0.1275,0.5248,0.2429,False
4226,SPDEF,SAM pointed domain containing ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:17257],0.0048,0.0063,0.7619,0.0653,1.4072,0.0464,False
4227,TMEM213,transmembrane protein 213 [Source:HGNC Symbol;Acc:HGNC:27220],0.004,0.0304,0.1316,0.1776,0.8619,0.2061,False
4228,SLC23A1,solute carrier family 23 member 1 [Source:HGNC Symbol;Acc:HGNC:10974],0.0054,0.0086,0.6279,0.0478,0.556,0.086,False
4229,MCU,mitochondrial calcium uniporter [Source:HGNC Symbol;Acc:HGNC:23526],0.0,0.0,,0.0182,0.4691,0.0388,False
4230,BORCS7-ASMT,BORCS7-ASMT readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49183],0.0042,0.0,inf,0.018000000000000002,0.4427,0.0407,False
4231,FHL3,four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704],0.0017,0.028999999999999998,0.0586,0.0127,0.6103,0.0208,False
4232,KIAA1549,KIAA1549 [Source:HGNC Symbol;Acc:HGNC:22219],0.0082,0.0177,0.4633,0.1736,0.5807,0.2989,False
4233,AS3MT,arsenite methyltransferase [Source:HGNC Symbol;Acc:HGNC:17452],0.0141,0.0171,0.8246,0.1521,0.5523,0.2754,True
4234,FAM110C,family with sequence similarity 110 member C [Source:HGNC Symbol;Acc:HGNC:33340],0.0089,0.0643,0.1384,0.2563,1.8352,0.1397,False
4235,FGFR3,fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690],0.0005,0.022000000000000002,0.0227,0.057999999999999996,1.222,0.0475,True
4236,TPH1,tryptophan hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:12008],0.0023,0.0,inf,0.0525,0.5812,0.0903,True
4237,SFTPB,surfactant protein B [Source:HGNC Symbol;Acc:HGNC:10801],0.0058,0.0174,0.3333,0.1752,0.6627,0.2644,False
4238,PDLIM7,PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958],0.0262,0.0807,0.3247,0.0293,0.6494,0.0451,False
4239,TDRD7,tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831],0.0018,0.0103,0.1748,0.0865,0.5919,0.1461,False
4240,B4GALNT3,"beta-1,4-N-acetyl-galactosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:24137]",0.0318,0.0763,0.4168,0.085,0.5886,0.1444,False
4241,NOA1,nitric oxide associated 1 [Source:HGNC Symbol;Acc:HGNC:28473],0.0025,0.0193,0.1295,0.1677,0.5136,0.3265,False
4242,REST,RE1 silencing transcription factor [Source:HGNC Symbol;Acc:HGNC:9966],0.0073,0.0113,0.646,0.2507,1.0462,0.2396,False
4243,EPN2,epsin 2 [Source:HGNC Symbol;Acc:HGNC:18639],0.0022,0.0241,0.0913,0.0569,0.4673,0.1218,False
4244,SLC4A11,solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438],0.0057,0.0345,0.1652,0.07200000000000001,0.7816,0.0921,False
4245,BORCS7,BLOC-1 related complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:23516],0.0042,0.0,inf,0.018000000000000002,0.4427,0.0407,False
4246,METTL14,methyltransferase like 14 [Source:HGNC Symbol;Acc:HGNC:29330],0.0,0.0,,0.0059,0.4648,0.0127,False
4247,PAIP2,poly(A) binding protein interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:17970],0.0,0.0,,0.0065,0.0845,0.0769,False
4248,ANXA10,annexin A10 [Source:HGNC Symbol;Acc:HGNC:534],0.0078,0.0066,1.1818,0.0588,0.4913,0.1197,False
4249,CTDSP1,CTD small phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:21614],0.0,0.0,,0.0051,0.4438,0.0115,True
4250,HEATR5B,HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273],0.0002,0.0191,0.0105,0.0214,0.5989,0.0357,False
4251,GCHFR,GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:HGNC:4194],0.0,0.0,,0.0329,0.3752,0.0877,False
4252,PDZD4,PDZ domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21167],0.002,0.0056,0.3571,0.0329,0.8748,0.0376,False
4253,SEC24A,"SEC24 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10703]",0.0027,0.0059,0.4576,0.0617,0.3535,0.1745,False
4254,C15orf62,chromosome 15 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:34489],0.0,0.0,,0.0834,0.4994,0.167,False
4255,SLC15A1,solute carrier family 15 member 1 [Source:HGNC Symbol;Acc:HGNC:10920],0.0061,0.0152,0.4013,0.0866,0.6497,0.1333,True
4256,HK3,hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925],0.0034,0.0212,0.1604,0.0854,0.6374,0.134,False
4257,DNAJC17,DnaJ heat shock protein family (Hsp40) member C17 [Source:HGNC Symbol;Acc:HGNC:25556],0.0028,0.0105,0.2667,0.0535,0.4763,0.1123,False
4258,UTP11,UTP11 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24329],0.0021,0.0065,0.3231,0.05,0.637,0.0785,False
4259,PLAAT5,phospholipase A and acyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:24978],0.0125,0.0132,0.947,0.1709,0.6854,0.2493,False
4260,POU3F1,POU class 3 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9214],0.0,0.0,,0.0027,0.4855,0.0056,False
4261,CCDC32,coiled-coil domain containing 32 [Source:HGNC Symbol;Acc:HGNC:28295],0.1474,0.2389,0.617,0.0729,0.3081,0.2366,False
4262,RSPO3,R-spondin 3 [Source:HGNC Symbol;Acc:HGNC:20866],0.0271,0.0613,0.4421,0.0583,0.2832,0.2059,False
4263,UNC5A,unc-5 netrin receptor A [Source:HGNC Symbol;Acc:HGNC:12567],0.002,0.0314,0.0637,0.0143,0.6854,0.0209,False
4264,ZNF592,zinc finger protein 592 [Source:HGNC Symbol;Acc:HGNC:28986],0.0007,0.0094,0.0745,0.0641,0.4198,0.1527,False
4265,SLC38A1,solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447],0.0009,0.0143,0.0629,0.0767,0.8808,0.0871,False
4266,STK36,serine/threonine kinase 36 [Source:HGNC Symbol;Acc:HGNC:17209],0.0023,0.0071,0.3239,0.0869,0.3996,0.2175,True
4267,CENPW,centromere protein W [Source:HGNC Symbol;Acc:HGNC:21488],0.0,0.0,,0.14300000000000002,0.7081,0.2019,False
4268,OARD1,O-acyl-ADP-ribose deacylase 1 [Source:HGNC Symbol;Acc:HGNC:21257],0.0,0.0,,0.0207,0.3818,0.0542,False
4269,NEDD4L,NEDD4 like E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728],0.0671,0.0937,0.7161,0.0302,0.5449,0.0554,False
4270,TMEM127,transmembrane protein 127 [Source:HGNC Symbol;Acc:HGNC:26038],0.0,0.0,,0.006,0.49200000000000005,0.0122,False
4271,ZNF317,zinc finger protein 317 [Source:HGNC Symbol;Acc:HGNC:13507],0.0038,0.0113,0.3363,0.0967,1.1645,0.083,False
4272,ALPK3,alpha kinase 3 [Source:HGNC Symbol;Acc:HGNC:17574],0.0062,0.0173,0.3584,0.1907,0.5545,0.3439,False
4273,ZFYVE19,zinc finger FYVE-type containing 19 [Source:HGNC Symbol;Acc:HGNC:20758],0.0041,0.0172,0.2384,0.11699999999999999,0.5074,0.2306,False
4274,TMEM30A,transmembrane protein 30A [Source:HGNC Symbol;Acc:HGNC:16667],0.0,0.0,,0.0617,0.3462,0.1782,False
4275,TRPM6,transient receptor potential cation channel subfamily M member 6 [Source:HGNC Symbol;Acc:HGNC:17995],0.0023,0.0095,0.2421,0.1274,0.5529999999999999,0.2304,False
4276,ST3GAL5,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10872]",0.0478,0.0871,0.5488,0.0928,0.5557,0.167,False
4277,CDKL3,cyclin dependent kinase like 3 [Source:HGNC Symbol;Acc:HGNC:15483],0.0016,0.0018,0.8889,0.1234,0.6087,0.2027,False
4278,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit [Source:HGNC Symbol;Acc:HGNC:3439]",0.0,0.0,,0.0516,0.6084,0.0848,False
4279,ZNF32,zinc finger protein 32 [Source:HGNC Symbol;Acc:HGNC:13095],0.0,0.0,,0.0217,0.6208,0.035,False
4280,CTAGE15,CTAGE family member 15 [Source:HGNC Symbol;Acc:HGNC:37295],0.0387,0.0623,0.6212,0.19899999999999998,0.4947,0.4023,False
4281,CFAP221,cilia and flagella associated protein 221 [Source:HGNC Symbol;Acc:HGNC:33720],0.0031,0.0138,0.2246,0.1699,0.731,0.2324,False
4282,RACK1,receptor for activated C kinase 1 [Source:HGNC Symbol;Acc:HGNC:4399],0.1165,0.2061,0.5653,0.0,0.0,,False
4283,NTRK3,neurotrophic receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:8033],0.0011,0.0209,0.0526,0.0146,0.4773,0.0306,True
4284,YIF1B,"Yip1 interacting factor homolog B, membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:30511]",0.0027,0.0359,0.0752,0.0481,0.6019,0.0799,False
4285,LST1,leukocyte specific transcript 1 [Source:HGNC Symbol;Acc:HGNC:14189],0.0048,0.0103,0.466,0.366,0.9997,0.3661,False
4286,MSMP,"microseminoprotein, prostate associated [Source:HGNC Symbol;Acc:HGNC:29663]",0.0033,0.0185,0.1784,0.0478,0.3846,0.1243,False
4287,ABHD17C,abhydrolase domain containing 17C [Source:HGNC Symbol;Acc:HGNC:26925],0.0013,0.0343,0.0379,0.0134,0.5488,0.0244,False
4288,ZDHHC4,zinc finger DHHC-type containing 4 [Source:HGNC Symbol;Acc:HGNC:18471],0.048,0.0521,0.9213,0.1544,0.6783,0.2276,False
4289,PPP2CA,protein phosphatase 2 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9299],0.0,0.0,,0.0015,0.2598,0.0058,True
4290,SLC28A1,solute carrier family 28 member 1 [Source:HGNC Symbol;Acc:HGNC:11001],0.0051,0.0136,0.375,0.0916,0.6422,0.1426,False
4291,RGP1,"RGP1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:21965]",0.0,0.0,,0.0154,0.46299999999999997,0.0333,False
4292,RNF25,ring finger protein 25 [Source:HGNC Symbol;Acc:HGNC:14662],0.0196,0.0343,0.5714,0.1043,0.3963,0.2632,False
4293,TLN2,talin 2 [Source:HGNC Symbol;Acc:HGNC:15447],0.0016,0.0109,0.1468,0.0062,0.5102,0.0122,False
4294,TCAF2C,TRPM8 channel associated factor 2C [Source:HGNC Symbol;Acc:HGNC:53641],0.0104,0.0299,0.3478,0.17600000000000002,0.6211,0.2834,False
4295,SPSB2,splA/ryanodine receptor domain and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:29522],0.0016,0.0355,0.0451,0.047,0.579,0.0812,False
4296,ENO2,enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353],0.0,0.0,,0.0083,0.4236,0.0196,False
4297,TCF7,transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639],0.0425,0.1079,0.3939,0.0209,0.3735,0.056,False
4298,AFDN,"afadin, adherens junction formation factor [Source:HGNC Symbol;Acc:HGNC:7137]",0.0014,0.0101,0.1386,0.035,0.5177,0.0676,False
4299,TET3,tet methylcytosine dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:28313],0.0034,0.0062,0.5484,0.0516,0.4783,0.1079,False
4300,ABRA,actin binding Rho activating protein [Source:HGNC Symbol;Acc:HGNC:30655],0.0064,0.0058,1.1034,0.1206,0.5423,0.2224,False
4301,VPS33B,VPS33B late endosome and lysosome associated [Source:HGNC Symbol;Acc:HGNC:12712],0.0016,0.0109,0.1468,0.0128,0.3986,0.0321,False
4302,JPT2,Jupiter microtubule associated homolog 2 [Source:HGNC Symbol;Acc:HGNC:14137],0.0027,0.0052,0.5192,0.1174,0.6159,0.1906,False
4303,CYBRD1,cytochrome b reductase 1 [Source:HGNC Symbol;Acc:HGNC:20797],0.0036,0.0,inf,0.1659,0.5054,0.3283,False
4304,WASHC1,WASH complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24361],0.049,0.1096,0.4471,0.0954,0.807,0.1182,False
4305,XPC,"XPC complex subunit, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12816]",0.0054,0.0094,0.5745,0.1613,0.6547,0.2464,False
4306,OIT3,oncoprotein induced transcript 3 [Source:HGNC Symbol;Acc:HGNC:29953],0.0026,0.0112,0.2321,0.0516,0.7071,0.073,False
4307,DHX35,DEAH-box helicase 35 [Source:HGNC Symbol;Acc:HGNC:15861],0.0068,0.02,0.34,0.0265,0.4933,0.0537,False
4308,SSBP4,single stranded DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:15676],0.038,0.1457,0.2608,0.0576,0.7822,0.0736,False
4309,MED26,mediator complex subunit 26 [Source:HGNC Symbol;Acc:HGNC:2376],0.0007,0.0338,0.0207,0.0732,0.7766,0.0943,False
4310,TSTD2,thiosulfate sulfurtransferase like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30087],0.0039,0.0102,0.3824,0.1125,0.4719,0.2384,False
4311,PLA2G12B,phospholipase A2 group XIIB [Source:HGNC Symbol;Acc:HGNC:18555],0.0,0.0,,0.0552,0.5523,0.0999,False
4312,KRTCAP3,keratinocyte associated protein 3 [Source:HGNC Symbol;Acc:HGNC:28943],0.0045,0.0195,0.2308,0.0889,0.4375,0.2032,False
4313,GSR,glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623],0.0045,0.0259,0.1737,0.1009,0.8848,0.114,True
4314,AC008764.1,novel protein,0.0325,0.0807,0.4027,0.1343,0.8866,0.1515,False
4315,BOLA3,bolA family member 3 [Source:HGNC Symbol;Acc:HGNC:24415],0.0,0.0,,0.0369,0.7252,0.0509,False
4316,TCP11X2,"t-complex 11 family, X-linked 2 [Source:HGNC Symbol;Acc:HGNC:48335]",0.0056,0.0064,0.875,0.2072,0.7402,0.2799,False
4317,EPHX2,epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402],0.031,0.0669,0.4634,0.1668,0.6171,0.2703,False
4318,NCBP1,nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658],0.0,0.0,,0.0094,0.5225,0.018,False
4319,LSM3,"LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]",0.0,0.0,,0.0,0.0,,False
4320,IFT172,intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391],0.0085,0.0158,0.538,0.0206,0.4706,0.0438,False
4321,LRRC23,leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:HGNC:19138],0.0025,0.0128,0.1953,0.1323,0.7572,0.1747,False
4322,ILRUN,inflammation and lipid regulator with UBA-like and NBR1-like domains [Source:HGNC Symbol;Acc:HGNC:21215],0.0,0.0,,0.0128,0.2151,0.0595,False
4323,CA5B,carbonic anhydrase 5B [Source:HGNC Symbol;Acc:HGNC:1378],0.0,0.0,,0.0584,0.3925,0.1488,True
4324,PHACTR3,phosphatase and actin regulator 3 [Source:HGNC Symbol;Acc:HGNC:15833],0.0026,0.0078,0.3333,0.099,0.5658,0.175,False
4325,TMEM43,transmembrane protein 43 [Source:HGNC Symbol;Acc:HGNC:28472],0.0035,0.0183,0.1913,0.036000000000000004,0.6368,0.0565,False
4326,CRAMP1,cramped chromatin regulator homolog 1 [Source:HGNC Symbol;Acc:HGNC:14122],0.0043,0.0165,0.2606,0.0945,0.7108,0.1329,False
4327,CLTRN,"collectrin, amino acid transport regulator [Source:HGNC Symbol;Acc:HGNC:29437]",0.0042,0.0055,0.7636,0.0787,0.40700000000000003,0.1934,False
4328,AC097625.2,novel protein,0.0426,0.0705,0.6043,0.1068,0.5464,0.1955,False
4329,TBCK,TBC1 domain containing kinase [Source:HGNC Symbol;Acc:HGNC:28261],0.0024,0.019,0.1263,0.0236,0.4693,0.0503,False
4330,ACE2,angiotensin I converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557],0.0049,0.0081,0.6049,0.1043,0.4054,0.2573,True
4331,C19orf44,chromosome 19 open reading frame 44 [Source:HGNC Symbol;Acc:HGNC:26141],0.003,0.017,0.1765,0.37799999999999995,0.9420000000000001,0.4013,False
4332,VWA8,von Willebrand factor A domain containing 8 [Source:HGNC Symbol;Acc:HGNC:29071],0.0029,0.0118,0.2458,0.0774,0.6374,0.1214,False
4333,FAM171A1,family with sequence similarity 171 member A1 [Source:HGNC Symbol;Acc:HGNC:23522],0.0011,0.0107,0.1028,0.0396,0.5912,0.067,False
4334,SPINT2,"serine peptidase inhibitor, Kunitz type 2 [Source:HGNC Symbol;Acc:HGNC:11247]",0.0035,0.0059,0.5932,0.1707,0.8682,0.1966,False
4335,TMOD1,tropomodulin 1 [Source:HGNC Symbol;Acc:HGNC:11871],0.0023,0.0046,0.5,0.0144,0.5054,0.0285,False
4336,CCDC106,coiled-coil domain containing 106 [Source:HGNC Symbol;Acc:HGNC:30181],0.0028,0.0148,0.1892,0.0527,0.9092,0.058,False
4337,ARFIP2,ADP ribosylation factor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:17160],0.0013,0.0076,0.1711,0.0041,0.2343,0.0175,False
4338,GATD1,glutamine amidotransferase like class 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26616],0.0057,0.0245,0.2327,0.0356,0.8797,0.0405,False
4339,SKP1,S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899],0.0,0.0,,0.0027,0.2673,0.0101,False
4340,TMA7,translation machinery associated 7 homolog [Source:HGNC Symbol;Acc:HGNC:26932],0.0,0.0,,0.0,0.0,,False
4341,RNF14,ring finger protein 14 [Source:HGNC Symbol;Acc:HGNC:10058],0.0011,0.0076,0.1447,0.0449,0.4617,0.0972,False
4342,ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17 [Source:HGNC Symbol;Acc:HGNC:17109],0.005,0.0258,0.1938,0.0508,0.7017,0.0724,False
4343,CCDC51,coiled-coil domain containing 51 [Source:HGNC Symbol;Acc:HGNC:25714],0.2384,0.2618,0.9106,0.3665,0.8240000000000001,0.4448,False
4344,SMIM7,small integral membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:28419],0.0,0.0,,0.0508,2.0654,0.0246,False
4345,HLA-C,"major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]",0.0657,0.1506,0.4363,0.2664,1.2143,0.2194,False
4346,GPATCH11,G-patch domain containing 11 [Source:HGNC Symbol;Acc:HGNC:26768],0.0062,0.0097,0.6392,0.0585,0.9636,0.0607,False
4347,C19orf33,chromosome 19 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:16668],0.0078,0.0164,0.4756,0.2623,1.7428,0.1505,False
4348,AC011479.1,novel protein,0.5255,0.5902,0.8904,0.8745,21.9614,0.0398,False
4349,RHOBTB1,Rho related BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18738],0.0026,0.0147,0.1769,0.0623,0.8415,0.074,False
4350,ZDHHC8,zinc finger DHHC-type containing 8 [Source:HGNC Symbol;Acc:HGNC:18474],0.0303,0.0934,0.3244,0.0676,0.8981,0.0753,False
4351,PCDHGC5,"protocadherin gamma subfamily C, 5 [Source:HGNC Symbol;Acc:HGNC:8718]",0.002,0.0086,0.2326,0.0377,0.4175,0.0903,False
4352,ETV4,ETS variant 4 [Source:HGNC Symbol;Acc:HGNC:3493],0.0028,0.0083,0.3373,0.0389,0.345,0.1128,False
4353,INPP5F,inositol polyphosphate-5-phosphatase F [Source:HGNC Symbol;Acc:HGNC:17054],0.0012,0.0054,0.2222,0.0506,0.5234,0.0967,False
4354,PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A [Source:HGNC Symbol;Acc:HGNC:14871],0.0,0.0,,0.0748,0.8863,0.0844,False
4355,MT3,metallothionein 3 [Source:HGNC Symbol;Acc:HGNC:7408],0.0,0.0,,0.0746,0.5223,0.1428,True
4356,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437],0.0068,0.0127,0.5354,0.2892,0.9007,0.3211,True
4357,C5orf47,chromosome 5 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:27026],0.0168,0.0063,2.6667,0.4236,0.8671,0.4885,False
4358,MUSTN1,"musculoskeletal, embryonic nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:22144]",0.0415,0.0,inf,0.0726,0.7306,0.0994,False
4359,USP28,ubiquitin specific peptidase 28 [Source:HGNC Symbol;Acc:HGNC:12625],0.0008,0.0057,0.1404,0.0489,0.506,0.0966,False
4360,PCDHGA4,"protocadherin gamma subfamily A, 4 [Source:HGNC Symbol;Acc:HGNC:8702]",0.0194,0.0191,1.0157,0.1045,0.6535,0.1599,False
4361,ITIH4,inter-alpha-trypsin inhibitor heavy chain 4 [Source:HGNC Symbol;Acc:HGNC:6169],0.005,0.011000000000000001,0.4545,0.2456,0.9046,0.2715,True
4362,TTBK1,tau tubulin kinase 1 [Source:HGNC Symbol;Acc:HGNC:19140],0.0037,0.0154,0.2403,0.0485,0.6325,0.0767,False
4363,CCL3L1,C-C motif chemokine ligand 3 like 1 [Source:HGNC Symbol;Acc:HGNC:10628],0.0097,0.106,0.0915,0.1729,0.7102,0.2435,False
4364,UBE2K,ubiquitin conjugating enzyme E2 K [Source:HGNC Symbol;Acc:HGNC:4914],0.0,0.0,,0.0,0.0,,False
4365,PCDH12,protocadherin 12 [Source:HGNC Symbol;Acc:HGNC:8657],0.0025,0.017,0.1471,0.1175,0.5389,0.218,False
4366,NINJ2,ninjurin 2 [Source:HGNC Symbol;Acc:HGNC:7825],0.0024,0.0147,0.1633,0.1965,1.1823,0.1662,False
4367,USP24,ubiquitin specific peptidase 24 [Source:HGNC Symbol;Acc:HGNC:12623],0.005,0.0224,0.2232,0.0121,0.4505,0.0269,False
4368,SLC2A5,solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010],0.0018,0.0229,0.0786,0.1065,1.2425,0.0857,False
4369,COL28A1,collagen type XXVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22442],0.0046,0.0119,0.3866,0.0807,0.4303,0.1875,False
4370,PCM1,pericentriolar material 1 [Source:HGNC Symbol;Acc:HGNC:8727],0.0034,0.0071,0.4789,0.0551,0.455,0.1211,False
4371,CDCA5,cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626],0.0274,0.018000000000000002,1.5222,0.1841,0.7084,0.2599,False
4372,SATB2,SATB homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21637],0.0,0.0,,0.0018,0.3953,0.0046,False
4373,PCDHGA1,"protocadherin gamma subfamily A, 1 [Source:HGNC Symbol;Acc:HGNC:8696]",0.0433,0.0546,0.793,0.0962,0.6777,0.142,False
4374,NXT1,nuclear transport factor 2 like export factor 1 [Source:HGNC Symbol;Acc:HGNC:15913],0.0,0.0,,0.0062,0.5061,0.0123,False
4375,AP3S1,adaptor related protein complex 3 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:2013],0.0,0.0,,0.0,0.0,,False
4376,MYO10,myosin X [Source:HGNC Symbol;Acc:HGNC:7593],0.0018,0.0194,0.0928,0.025,0.7884,0.0317,False
4377,GALE,UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:HGNC:4116],0.0013,0.0086,0.1512,0.0301,0.5918,0.0509,False
4378,LINC02218,long intergenic non-protein coding RNA 2218 [Source:HGNC Symbol;Acc:HGNC:53085],0.0116,0.0132,0.8788,0.3024,0.9148,0.3306,False
4379,FOLR2,folate receptor beta [Source:HGNC Symbol;Acc:HGNC:3793],0.0053,0.0293,0.1809,0.12300000000000001,1.0270000000000001,0.1198,True
4380,RELT,RELT TNF receptor [Source:HGNC Symbol;Acc:HGNC:13764],0.0044,0.0084,0.5238,0.0857,0.4945,0.1733,False
4381,SLC25A37,solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786],0.0012,0.0169,0.071,0.0423,0.6266,0.0675,False
4382,DNAJC1,DnaJ heat shock protein family (Hsp40) member C1 [Source:HGNC Symbol;Acc:HGNC:20090],0.0023,0.0112,0.2054,0.0859,0.3622,0.2372,False
4383,INSYN1,inhibitory synaptic factor 1 [Source:HGNC Symbol;Acc:HGNC:33753],0.0015,0.0106,0.1415,0.0545,0.6092,0.0895,False
